Tue Oct 10 11:49:15 2023 Fold 0, Epoch 1, lr: 0.0, train loss: 0.00000, valid loss: 0.63910, metric: 0.01289
Tue Oct 10 12:56:22 2023 Fold 0, Epoch 1, lr: 0.0005, train loss: 0.39846, valid loss: 0.19507, metric: 0.64223
Tue Oct 10 13:27:47 2023 Fold 0, Epoch 2, lr: 0.0005, train loss: 0.28423, valid loss: 0.18712, metric: 0.67159
Tue Oct 10 13:59:50 2023 Fold 0, Epoch 3, lr: 0.0005, train loss: 0.23890, valid loss: 0.19208, metric: 0.66987
Tue Oct 10 18:23:54 2023 Fold 0, Epoch 1, lr: 0.0005, train loss: 0.13585, valid loss: 0.05304, metric: 0.90272
Tue Oct 10 19:03:10 2023 Fold 0, Epoch 2, lr: 0.0005, train loss: 0.05168, valid loss: 0.04477, metric: 0.92342
Tue Oct 10 19:42:08 2023 Fold 0, Epoch 3, lr: 0.0005, train loss: 0.04197, valid loss: 0.03956, metric: 0.93213
Tue Oct 10 20:21:09 2023 Fold 0, Epoch 4, lr: 0.0005, train loss: 0.03267, valid loss: 0.03805, metric: 0.93477
Tue Oct 10 21:00:06 2023 Fold 0, Epoch 5, lr: 0.0005, train loss: 0.03386, valid loss: 0.04357, metric: 0.92816
Tue Oct 10 21:39:03 2023 Fold 0, Epoch 6, lr: 0.0005, train loss: 0.03193, valid loss: 0.03666, metric: 0.93917
Tue Oct 10 22:18:01 2023 Fold 0, Epoch 7, lr: 0.0005, train loss: 0.02816, valid loss: 0.03579, metric: 0.94052
Tue Oct 10 22:56:59 2023 Fold 0, Epoch 8, lr: 0.0005, train loss: 0.03113, valid loss: 0.03429, metric: 0.94195
Tue Oct 10 23:35:56 2023 Fold 0, Epoch 9, lr: 0.0005, train loss: 0.02763, valid loss: 0.03225, metric: 0.94789
Wed Oct 11 00:14:54 2023 Fold 0, Epoch 10, lr: 0.0005, train loss: 0.02697, valid loss: 0.03558, metric: 0.94234
Wed Oct 11 00:53:54 2023 Fold 0, Epoch 11, lr: 0.0005, train loss: 0.02655, valid loss: 0.03272, metric: 0.94623
Wed Oct 11 01:32:51 2023 Fold 0, Epoch 12, lr: 0.0005, train loss: 0.02651, valid loss: 0.03178, metric: 0.94811
Wed Oct 11 02:11:56 2023 Fold 0, Epoch 13, lr: 0.0005, train loss: 0.02500, valid loss: 0.03215, metric: 0.94816
Wed Oct 11 02:50:56 2023 Fold 0, Epoch 14, lr: 0.0005, train loss: 0.02490, valid loss: 0.02938, metric: 0.95220
Wed Oct 11 03:30:02 2023 Fold 0, Epoch 15, lr: 0.0005, train loss: 0.02404, valid loss: 0.02860, metric: 0.95420
